code,system
14AN.00,readv2
G573000,readv2
14AR.00,readv2
3273.00,readv2
G573.00,readv2
G573100,readv2
G573z00,readv2
1757,med
2212,med
23437,med
6771,med
212R.00,readv2
3272.00,readv2
6A9..00,readv2
9hF..00,readv2
9hF1.00,readv2
G573200,readv2
G573300,readv2
G573400,readv2
G573500,readv2
1268,med
662S.00,readv2
9Os..00,readv2
18746,med
39114,med
45773,med
57832,med
63350,med
90187,med
90188,med
90189,med
90190,med
90191,med
9Os0.00,readv2
9Os1.00,readv2
9Os2.00,readv2
9Os3.00,readv2
9Os4.00,readv2
1664,med
35127,med
3757,med
28994,med
6345,med
93460,med
96076,med
96277,med
I48,icd10